CustomerID,CustomerName,Gender,Age,AgeGroup,City,State,CustomerSegment,JoinDate
1001,Arjun Rao,Male,35,26-35,Bengaluru,Karnataka,New,2023-10-13
1002,Suresh Rao,Female,20,18-25,Bengaluru,Karnataka,New,2024-03-23
1003,Suresh Das,Male,59,46-60,Hyderabad,Telangana,Regular,2025-05-09
1004,Amit Kumar,Male,28,26-35,Chennai,Tamil Nadu,Regular,2024-11-27
1005,Priya Naidu,Female,24,18-25,Delhi,Delhi,New,2023-07-18
1006,Aditya Rao,Male,47,46-60,Chennai,Tamil Nadu,Regular,2025-02-14
1007,Vivaan Patel,Female,54,46-60,Chennai,Tamil Nadu,New,2023-05-23
1008,Amit Das,Male,32,26-35,Chennai,Tamil Nadu,Premium,2025-02-17
1009,Aditya Verma,Male,41,36-45,Pune,Maharashtra,Regular,2024-06-30
1010,Neha Patel,Male,28,26-35,Mumbai,Maharashtra,Regular,2024-07-06
1011,Sneha Singh,Male,32,26-35,Pune,Maharashtra,Regular,2024-10-08
1012,Kiran Das,Male,54,46-60,Bengaluru,Karnataka,Premium,2024-10-06
1013,Neha Rao,Female,27,26-35,Kolkata,West Bengal,Regular,2024-05-20
1014,Rohan Rao,Female,55,46-60,Chennai,Tamil Nadu,Regular,2024-03-25
1015,Rahul Gupta,Male,21,18-25,Ahmedabad,Gujarat,Premium,2023-11-10
1016,Pooja Singh,Female,42,36-45,Bengaluru,Karnataka,Regular,2025-08-16
1017,Arjun Singh,Male,52,46-60,Hyderabad,Telangana,Regular,2024-11-27
1018,Pooja Kumar,Male,47,46-60,Kolkata,West Bengal,New,2024-06-23
1019,Rohan Naidu,Female,58,46-60,Bengaluru,Karnataka,Regular,2024-02-12
1020,Arjun Naidu,Male,56,46-60,Mumbai,Maharashtra,Regular,2023-02-09
1021,Aditya Das,Male,21,18-25,Chennai,Tamil Nadu,New,2023-06-11
1022,Amit Rao,Male,26,26-35,Bengaluru,Karnataka,Regular,2023-12-05
1023,Vikram Gupta,Male,52,46-60,Kolkata,West Bengal,Regular,2024-02-16
1024,Suresh Reddy,Female,51,46-60,Pune,Maharashtra,Regular,2024-05-22
