DeliveryPartnerID,PartnerName,VehicleType,ExperienceLevel,JoiningDate
3001,Arjun Reddy,Electric Bike,Intermediate,2025-08-02
3002,Suresh Reddy,Scooter,Intermediate,2024-06-14
3003,Sneha Naidu,Bike,Experienced,2025-07-20
3004,Neha Kumar,Bicycle,Experienced,2024-03-25
3005,Kiran Sharma,Scooter,Intermediate,2025-06-13
3006,Amit Kumar,Electric Bike,Beginner,2021-09-05
3007,Neha Kumar,Electric Bike,Beginner,2023-01-28
3008,Vivaan Kumar,Bike,Experienced,2024-04-06
3009,Riya Gupta,Scooter,Beginner,2024-07-18
3010,Aditya Sharma,Bike,Beginner,2023-09-25
3011,Isha Singh,Electric Bike,Experienced,2021-07-02
3012,Meera Kumar,Scooter,Beginner,2025-06-11
3013,Pooja Das,Electric Bike,Beginner,2022-07-09
3014,Riya Sharma,Scooter,Experienced,2021-12-24
3015,Aditya Singh,Bicycle,Intermediate,2024-06-07
3016,Suresh Patel,Bike,Experienced,2024-02-17
3017,Riya Naidu,Scooter,Intermediate,2021-07-15
3018,Kiran Singh,Bike,Beginner,2024-07-06
3019,Rohan Das,Electric Bike,Beginner,2025-06-20
3020,Vivaan Sharma,Bicycle,Intermediate,2024-10-04
3021,Amit Naidu,Electric Bike,Beginner,2023-06-10
3022,Vivaan Rao,Scooter,Beginner,2025-02-25
3023,Meera Rao,Bike,Beginner,2021-03-01
3024,Divya Verma,Bicycle,Intermediate,2022-04-27
3025,Ananya Patel,Bike,Intermediate,2025-03-11
3026,Suresh Gupta,Scooter,Intermediate,2021-07-20
3027,Aditya Das,Electric Bike,Beginner,2022-03-28
3028,Rohan Patel,Electric Bike,Beginner,2023-06-12
3029,Rohan Das,Scooter,Intermediate,2023-02-04
3030,Kiran Naidu,Scooter,Beginner,2022-07-07
3031,Vivaan Singh,Scooter,Beginner,2024-03-10
3032,Divya Gupta,Scooter,Experienced,2023-08-12
3033,Vikram Verma,Scooter,Experienced,2022-03-27
3034,Riya Kumar,Scooter,Beginner,2024-07-30
3035,Pooja Das,Scooter,Intermediate,2025-10-22
3036,Divya Singh,Bike,Experienced,2025-09-11
3037,Suresh Patel,Bicycle,Intermediate,2025-02-16
3038,Isha Kumar,Bike,Intermediate,2022-04-01
3039,Vivaan Das,Bike,Intermediate,2021-04-01
3040,Meera Reddy,Electric Bike,Intermediate,2023-03-19
3041,Neha Sharma,Electric Bike,Experienced,2021-06-20
3042,Priya Singh,Scooter,Intermediate,2021-09-29
3043,Aarav Das,Bicycle,Beginner,2021-07-05
3044,Isha Verma,Bike,Experienced,2023-07-30
3045,Rohan Gupta,Scooter,Experienced,2023-08-08
3046,Divya Sharma,Bike,Intermediate,2023-01-29
3047,Ananya Rao,Bike,Intermediate,2024-11-15
3048,Amit Verma,Scooter,Experienced,2025-03-22
3049,Riya Naidu,Bike,Intermediate,2021-06-15
3050,Priya Sharma,Bike,Intermediate,2024-10-13
3051,Riya Sharma,Bicycle,Intermediate,2023-08-12
3052,Neha Reddy,Scooter,Beginner,2024-08-20
3053,Suresh Rao,Bike,Intermediate,2022-11-17
3054,Isha Patel,Scooter,Intermediate,2025-02-19
3055,Pooja Gupta,Bicycle,Beginner,2022-07-02
3056,Priya Das,Electric Bike,Intermediate,2023-02-03
3057,Arjun Das,Bicycle,Intermediate,2025-08-26
3058,Aditya Patel,Electric Bike,Beginner,2023-01-24
3059,Rahul Singh,Bike,Beginner,2023-03-12
3060,Arjun Kumar,Electric Bike,Beginner,2022-07-20
3061,Pooja Sharma,Bicycle,Intermediate,2022-02-23
3062,Neha Kumar,Electric Bike,Intermediate,2024-10-29
3063,Aarav Singh,Scooter,Beginner,2023-06-29
3064,Suresh Rao,Bicycle,Intermediate,2025-11-21
3065,Ananya Das,Electric Bike,Intermediate,2022-12-04
3066,Rohan Singh,Scooter,Experienced,2024-03-07
3067,Meera Naidu,Bicycle,Experienced,2022-04-10
3068,Rohan Naidu,Bicycle,Intermediate,2021-04-07
3069,Riya Kumar,Bicycle,Beginner,2021-12-07
3070,Rohan Kumar,Scooter,Beginner,2021-12-26
3071,Isha Kumar,Electric Bike,Intermediate,2022-10-11
3072,Kiran Rao,Bike,Experienced,2022-01-13
3073,Rohan Naidu,Electric Bike,Intermediate,2022-12-06
